Aapticheilichthys websteri
Abactochromis labrosus
Abalistes filamentosus
Abalistes stellatus
Abantennarius coccineus
Abbottina liaoningensis
Abbottina obtusirostris
Abbottina rivularis
Ablabys binotatus
Ablabys gymnothorax
Ablabys macracanthus
Ablabys pauciporus
Ablabys taenianotus
Ablennes hians
Aboma etheostoma
Aborichthys elongatus
Aborichthys kempi
Abramis brama
Abramites eques
Abramites hypselonotus
Abudefduf abdominalis
Abudefduf bengalensis
Abudefduf concolor
Abudefduf conformis
Abudefduf declivifrons
Abudefduf hoefleri
Abudefduf lorenzi
Abudefduf margariteus
Abudefduf natalensis
Abudefduf notatus
Abudefduf saxatilis
Abudefduf septemfasciatus
Abudefduf sexfasciatus
Abudefduf sordidus
Abudefduf sparoides
Abudefduf taurus
Abudefduf troschelii
Abudefduf vaigiensis
Abudefduf whitleyi
Abyssoberyx levisquamosus
Acanthaluteres brownii
Acanthaluteres spilomelanurus
Acanthaluteres vittiger
Acanthaphritis barbata
Acantharchus pomotis
Acanthemblemaria aspera
Acanthemblemaria atrata
Acanthemblemaria balanorum
Acanthemblemaria castroi
Acanthemblemaria chaplini
Acanthemblemaria crockeri
Acanthemblemaria exilispinus
Acanthemblemaria greenfieldi
Acanthemblemaria hancocki
Acanthemblemaria hastingsi
Acanthemblemaria macrospilus
Acanthemblemaria mangognatha
Acanthemblemaria maria
Acanthemblemaria paula
Acanthemblemaria spinosa
Acanthemblemaria stephensi
Acanthistius brasilianus
Acanthistius cinctus
Acanthistius fuscus
Acanthistius joanae
Acanthistius ocellatus
Acanthistius patachonicus
Acanthistius pictus
Acanthistius sebastoides
Acanthistius serratus
Acanthobunocephalus nicoi
Acanthocepola abbreviata
Acanthocepola indica
Acanthocepola krusensternii
Acanthocepola limbata
Acanthocharax microlepis
Acanthochromis polyacanthus
Acanthoclinus fuscus
Acanthoclinus marilynae
Acanthocobitis botia
Acanthocobitis mooreh
Acanthocobitis rubidipinnis
Acanthocobitis urophthalmus
Acanthocybium solandri
Acanthodoras cataphractus
Acanthodoras depressus
Acanthodoras spinosissimus
